date,area,avg_price,baseload_price,peak_price,daytime_price,night_price,solar_crush_price,max_price,min_price
2025/04/01,chubu,13.29,13.29,11.07,12.4,12.81,10.11,18,4.76
2025/04/01,chugoku,12.78,12.78,9.4,11.18,12.81,8.09,18,4.76
2025/04/01,hokkaido,14.54,14.54,10.42,13.04,14.41,8.77,20.3,7.11
2025/04/01,hokuriku,13.27,13.27,10.99,12.35,12.81,10.11,18,4.76
2025/04/01,kansai,13.27,13.27,10.99,12.35,12.81,10.11,18,4.76
2025/04/01,kyushu,12.78,12.78,9.4,11.18,12.81,8.09,18,4.76
2025/04/01,shikoku,4.64,4.64,0.01,0.41,7.77,0.01,7.84,0.01
2025/04/01,system,14.37,14.37,13.39,14.31,13.41,12.69,18.42,8.01
2025/04/01,tohoku,16.5,16.5,17.12,17.73,14.41,16.57,20.3,13.42
2025/04/01,tokyo,16.87,16.87,18.37,18.61,14.41,18.09,20.3,13.42
2025/04/02,chubu,11.47,11.47,10.28,10.54,11.79,9.11,15.73,4.69
2025/04/02,chugoku,10.8,10.8,8.31,9.16,11.53,7.16,14.73,4.69
2025/04/02,hokkaido,15.97,15.97,16.74,17.04,14.3,16.36,19.03,11.28
2025/04/02,hokuriku,11.37,11.37,10.28,10.54,11.53,9.11,15.73,4.69
2025/04/02,kansai,11.37,11.37,10.28,10.54,11.53,9.11,15.73,4.69
2025/04/02,kyushu,10.27,10.27,6.5,7.9,11.53,5.45,14.73,0.01
2025/04/02,shikoku,9.46,9.46,4.76,6.04,11.53,3.52,14.73,0.01
2025/04/02,system,12.62,12.62,10.67,11.64,12.85,9.57,15.17,7.53
2025/04/02,tohoku,16.13,16.13,17.26,17.4,14.3,17.07,19.03,13.63
2025/04/02,tokyo,16.13,16.13,17.26,17.4,14.3,17.07,19.03,13.63
2025/04/03,chubu,11.78,11.78,9.69,10.04,13,8.39,15.03,4.61
2025/04/03,chugoku,10.77,10.77,7.49,8.32,12.22,7.31,14.67,4.61
2025/04/03,hokkaido,17.56,17.56,17.11,17.83,16.38,16.29,20.96,11.19
2025/04/03,hokuriku,11.49,11.49,9.69,10.04,12.22,8.39,15.03,4.61
2025/04/03,kansai,11.49,11.49,9.69,10.04,12.22,8.39,15.03,4.61
2025/04/03,kyushu,9.13,9.13,2.17,4.38,12.22,0.01,14.67,0.01
2025/04/03,shikoku,10.13,10.13,5.53,6.81,12.22,4.56,14.67,0.01
2025/04/03,system,13.45,13.45,10.43,11.74,13.72,9.24,18.23,7
2025/04/03,tohoku,17.24,17.24,17.24,17.92,15.41,16.48,20.42,14.35
2025/04/03,tokyo,17.24,17.24,17.24,17.92,15.41,16.48,20.42,14.35
2025/04/04,chubu,11.35,11.35,7.73,8.53,13.02,6.67,16.32,1
2025/04/04,chugoku,10.95,10.95,6.72,7.82,12.74,5.98,16.32,1
2025/04/04,hokkaido,13.2,13.2,9.81,11.23,14.7,8.77,17.17,6.55
2025/04/04,hokuriku,11.24,11.24,7.73,8.53,12.74,6.67,16.32,1
2025/04/04,kansai,11.24,11.24,7.73,8.53,12.74,6.67,16.32,1
2025/04/04,kyushu,8.97,8.97,0.36,3.07,12.74,0.01,16.32,0.01
