date,station,tmax,tmin,tavg,cdd26
2025/04/01,tokyo,13.4,4.8,9.1,0
2025/04/01,osaka,15.3,6.7,11,0
2025/04/01,kobe,14.6,6.3,10.4,0
2025/04/01,nagasaki,14.4,6.2,10.3,0
2025/04/01,kumamoto,15.8,7.1,11.4,0
2025/04/01,sapporo,6.4,-2.1,2.2,0
2025/04/02,tokyo,14,6.4,10.2,0
2025/04/02,osaka,16,8.3,12.2,0
2025/04/02,kobe,13.6,4.9,9.3,0
2025/04/02,nagasaki,16,7.1,11.6,0
2025/04/02,kumamoto,14.8,5.3,10.1,0
2025/04/02,sapporo,6.7,-2.5,2.1,0
2025/04/03,tokyo,14.6,5.9,10.3,0
2025/04/03,osaka,14.1,5.4,9.8,0
2025/04/03,kobe,15.2,6,10.6,0
2025/04/03,nagasaki,15.8,8.2,12,0
2025/04/03,kumamoto,14.6,6.5,10.6,0
2025/04/03,sapporo,7.8,-0.1,3.9,0
2025/04/04,tokyo,15.2,7.5,11.3,0
2025/04/04,osaka,14.7,7,10.8,0
2025/04/04,kobe,14.2,6.6,10.4,0
2025/04/04,nagasaki,14.8,6.5,10.7,0
2025/04/04,kumamoto,16.2,7.3,11.8,0
2025/04/04,sapporo,8.1,-0.6,3.8,0
2025/04/05,tokyo,15.8,7.1,11.4,0
2025/04/05,osaka,15.3,6.6,10.9,0
2025/04/05,kobe,15.7,7.7,11.7,0
2025/04/05,nagasaki,16.4,7.3,11.8,0
2025/04/05,kumamoto,15.3,7.7,11.5,0
2025/04/05,sapporo,9.2,-0.2,4.5,0
2025/04/06,tokyo,13.9,6.2,10.1,0
2025/04/06,osaka,15.9,8.2,12.1,0
2025/04/06,kobe,14.8,6.4,10.6,0
2025/04/06,nagasaki,16.2,8.5,12.3,0
2025/04/06,kumamoto,15.1,6.8,10.9,0
2025/04/06,sapporo,7.7,-0.4,3.6,0
2025/04/07,tokyo,14.5,5.8,10.2,0
2025/04/07,osaka,16.5,7.7,12.1,0
2025/04/07,kobe,16.3,7.5,11.9,0
2025/04/07,nagasaki,17.8,9.3,13.6,0
2025/04/07,kumamoto,16.7,7.7,12.2,0
2025/04/07,sapporo,8.1,-0.8,3.6,0
2025/04/08,tokyo,15.2,7.4,11.3,0
2025/04/08,osaka,17.1,9.3,13.2,0
2025/04/08,kobe,15.3,6,10.7,0
2025/04/08,nagasaki,17.6,8.5,13.1,0
2025/04/08,kumamoto,16.5,8.8,12.7,0
2025/04/08,sapporo,9.1,1.5,5.3,0
2025/04/09,tokyo,15.8,7,11.4,0
2025/04/09,osaka,17.7,8.9,13.3,0
2025/04/09,kobe,16.9,9.2,13,0
