date,area,avg_price,peak_price,max_price,min_price,station,tmax,tmin,tavg,cdd26,is_weekend,is_obon
2025/04/01,chubu,13.29,9.13,18,4.76,osaka,15.3,6.7,11,0,0,0
2025/04/01,chugoku,12.78,8.82,18,4.76,osaka,15.3,6.7,11,0,0,0
2025/04/01,hokkaido,14.54,13.72,20.3,7.11,sapporo,6.4,-2.1,2.2,0,0,0
2025/04/01,hokuriku,13.27,8.95,18,4.76,osaka,15.3,6.7,11,0,0,0
2025/04/01,kansai,13.27,8.95,18,4.76,osaka,15.3,6.7,11,0,0,0
2025/04/01,kyushu,12.78,8.82,18,4.76,nagasaki,14.4,6.2,10.3,0,0,0
2025/04/01,shikoku,4.64,0.01,7.84,0.01,nagasaki,14.4,6.2,10.3,0,0,0
2025/04/01,system,14.37,13.7,18.42,8.01,tokyo,13.4,4.8,9.1,0,0,0
2025/04/01,tohoku,16.5,18.93,20.3,13.42,tokyo,13.4,4.8,9.1,0,0,0
2025/04/01,tokyo,16.87,18.93,20.3,13.42,tokyo,13.4,4.8,9.1,0,0,0
2025/04/02,chubu,11.47,10.61,15.73,4.69,osaka,16,8.3,12.2,0,0,0
2025/04/02,chugoku,10.8,8.65,14.73,4.69,osaka,16,8.3,12.2,0,0,0
2025/04/02,hokkaido,15.97,16.85,19.03,11.28,sapporo,6.7,-2.5,2.1,0,0,0
2025/04/02,hokuriku,11.37,10.61,15.73,4.69,osaka,16,8.3,12.2,0,0,0
2025/04/02,kansai,11.37,10.61,15.73,4.69,osaka,16,8.3,12.2,0,0,0
2025/04/02,kyushu,10.27,6.8,14.73,0.01,nagasaki,16,7.1,11.6,0,0,0
2025/04/02,shikoku,9.46,4.89,14.73,0.01,nagasaki,16,7.1,11.6,0,0,0
2025/04/02,system,12.62,10.72,15.17,7.53,tokyo,14,6.4,10.2,0,0,0
2025/04/02,tohoku,16.13,16.85,19.03,13.63,tokyo,14,6.4,10.2,0,0,0
2025/04/02,tokyo,16.13,16.85,19.03,13.63,tokyo,14,6.4,10.2,0,0,0
2025/04/03,chubu,11.78,11.2,15.03,4.61,osaka,14.1,5.4,9.8,0,0,0
2025/04/03,chugoku,10.77,8.14,14.67,4.61,osaka,14.1,5.4,9.8,0,0,0
2025/04/03,hokkaido,17.56,17.58,20.96,11.19,sapporo,7.8,-0.1,3.9,0,0,0
2025/04/03,hokuriku,11.49,11.2,15.03,4.61,osaka,14.1,5.4,9.8,0,0,0
2025/04/03,kansai,11.49,11.2,15.03,4.61,osaka,14.1,5.4,9.8,0,0,0
2025/04/03,kyushu,9.13,2.44,14.67,0.01,nagasaki,15.8,8.2,12,0,0,0
2025/04/03,shikoku,10.13,6.58,14.67,0.01,nagasaki,15.8,8.2,12,0,0,0
2025/04/03,system,13.45,11.13,18.23,7,tokyo,14.6,5.9,10.3,0,0,0
2025/04/03,tohoku,17.24,17.58,20.42,14.35,tokyo,14.6,5.9,10.3,0,0,0
2025/04/03,tokyo,17.24,17.58,20.42,14.35,tokyo,14.6,5.9,10.3,0,0,0
2025/04/04,chubu,11.35,8.67,16.32,1,osaka,14.7,7,10.8,0,0,0
2025/04/04,chugoku,10.95,8.29,16.32,1,osaka,14.7,7,10.8,0,0,0
2025/04/04,hokkaido,13.2,11.03,17.17,6.55,sapporo,8.1,-0.6,3.8,0,0,0
2025/04/04,hokuriku,11.24,8.67,16.32,1,osaka,14.7,7,10.8,0,0,0
2025/04/04,kansai,11.24,8.67,16.32,1,osaka,14.7,7,10.8,0,0,0
2025/04/04,kyushu,8.97,0.65,16.32,0.01,nagasaki,14.8,6.5,10.7,0,0,0
2025/04/04,shikoku,10.13,6.4,16.32,0.01,nagasaki,14.8,6.5,10.7,0,0,0
2025/04/04,system,11.62,8.38,16.04,0.1,tokyo,15.2,7.5,11.3,0,0,0
2025/04/04,tohoku,13.19,11.17,17.17,6.55,tokyo,15.2,7.5,11.3,0,0,0
2025/04/04,tokyo,14.07,12.93,17.17,10.39,tokyo,15.2,7.5,11.3,0,0,0
2025/04/05,chubu,10.03,8.26,13.1,3.61,osaka,15.3,6.6,10.9,0,1,0
2025/04/05,chugoku,10.01,8.04,13.1,3.61,osaka,15.3,6.6,10.9,0,1,0
2025/04/05,hokkaido,10.62,7.08,16.57,0.02,sapporo,9.2,-0.2,4.5,0,1,0
2025/04/05,hokuriku,10.01,8.04,13.1,3.61,osaka,15.3,6.6,10.9,0,1,0
2025/04/05,kansai,10.01,8.04,13.1,3.61,osaka,15.3,6.6,10.9,0,1,0
2025/04/05,kyushu,9.82,7.36,13.1,3.61,nagasaki,16.4,7.3,11.8,0,1,0
2025/04/05,shikoku,9.86,8.04,13.1,3.61,nagasaki,16.4,7.3,11.8,0,1,0
2025/04/05,system,10.43,7.82,13.38,3,tokyo,15.8,7.1,11.4,0,1,0
2025/04/05,tohoku,9.79,4.98,16.57,0.01,tokyo,15.8,7.1,11.4,0,1,0
2025/04/05,tokyo,11.79,8.42,16.57,7,tokyo,15.8,7.1,11.4,0,1,0
2025/04/06,chubu,9.04,5.92,12.46,5.56,osaka,15.9,8.2,12.1,0,1,0
2025/04/06,chugoku,7.38,2.59,12.46,0.01,osaka,15.9,8.2,12.1,0,1,0
2025/04/06,hokkaido,11.71,10.34,16.47,5.56,sapporo,7.7,-0.4,3.6,0,1,0
2025/04/06,hokuriku,7.38,2.59,12.46,0.01,osaka,15.9,8.2,12.1,0,1,0
2025/04/06,kansai,7.38,2.59,12.46,0.01,osaka,15.9,8.2,12.1,0,1,0
